[ 2026-09-10 18:37:28,547 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-10 18:37:41,065 ] 68 root - INFO - Performed train test split on the dataframe
[ 2026-09-10 18:37:41,065 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-10 18:37:41,080 ] 78 root - INFO - Exporting train and test file path.
[ 2026-09-10 18:37:41,204 ] 87 root - INFO - Exported train and test file path.
[ 2026-09-10 18:37:41,204 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-10 18:37:41,235 ] 26 root - INFO - Initiate the data Validation
[ 2026-09-10 18:37:41,292 ] 32 root - INFO - Required number of columns:2
[ 2026-09-10 18:37:41,292 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-10 18:37:41,292 ] 32 root - INFO - Required number of columns:2
[ 2026-09-10 18:37:41,292 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-10 18:37:41,518 ] 28 root - INFO - data Validation Completed
[ 2026-09-10 18:37:41,518 ] 32 root - INFO - data Transformation started
[ 2026-09-10 18:37:41,518 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-09-10 18:37:41,518 ] 65 root - INFO - Starting data transformation
[ 2026-09-10 18:37:41,551 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-09-10 18:37:41,551 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-09-10 18:37:41,589 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-10 18:37:41,595 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-10 18:37:41,597 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-10 18:37:41,600 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-10 18:37:41,600 ] 36 root - INFO - data Transformation completed
