[ 2026-09-09 00:54:00,418 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-09 00:54:29,594 ] 68 root - INFO - Performed train test split on the dataframe
[ 2026-09-09 00:54:29,598 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-09 00:54:29,598 ] 78 root - INFO - Exporting train and test file path.
[ 2026-09-09 00:54:29,662 ] 87 root - INFO - Exported train and test file path.
[ 2026-09-09 00:54:29,662 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-09 00:54:29,677 ] 26 root - INFO - Initiate the data Validation
[ 2026-09-09 00:54:29,701 ] 32 root - INFO - Required number of columns:2
[ 2026-09-09 00:54:29,701 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-09 00:54:29,701 ] 32 root - INFO - Required number of columns:2
[ 2026-09-09 00:54:29,701 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-09 00:54:29,853 ] 28 root - INFO - data Validation Completed
